date,description,paid_out_gbp,paid_in_gbp,balance_gbp
2026-05-01,CARD SETTLEMENT BATCH 3004,,71286.40,11328953.93
2026-05-01,BACS CREDIT REF 374204 MANUFACTURER,,138442.19,11467396.12
2026-05-01,BACS CREDIT REF 368458 MANUFACTURER,,1472843.06,12940239.18
2026-05-01,BACS PAYMENT RUN 0429,1412304.55,,11527934.63
2026-05-05,CARD SETTLEMENT BATCH 0105,,77518.05,11605452.68
2026-05-05,BACS CREDIT REF 866454 FM COMPANY,,809331.18,12414783.86
2026-05-06,CARD SETTLEMENT BATCH 0505,,25030.86,12439814.72
2026-05-06,BACS CREDIT REF 981389 FM COMPANY,,1375145.08,13814959.80
2026-05-07,CARD SETTLEMENT BATCH 0605,,72376.05,13887335.85
2026-05-07,BACS CREDIT REF 298067 PUBLIC FRAMEWORK,,1114436.05,15001771.90
2026-05-08,CARD SETTLEMENT BATCH 0705,,71134.21,15072906.11
2026-05-08,BACS CREDIT REF 197221 SME TRADE,,743241.95,15816148.06
2026-05-11,CARD SETTLEMENT BATCH 0805,,30968.41,15847116.47
2026-05-11,BACS CREDIT REF 532595 MANUFACTURER,,1008743.72,16855860.19
2026-05-11,BACS PAYMENT RUN 0507,5612847.33,,11243012.86
2026-05-12,CARD SETTLEMENT BATCH 1105,,75926.94,11318939.80
2026-05-12,BACS CREDIT REF 995693 NHS TRUST,,1399108.73,12718048.53
2026-05-13,CARD SETTLEMENT BATCH 1205,,73637.30,12791685.83
2026-05-13,BACS CREDIT REF 528959 MANUFACTURER,,1391483.05,14183168.88
2026-05-14,CARD SETTLEMENT BATCH 1305,,57978.46,14241147.34
2026-05-14,BACS CREDIT REF 481829 PUBLIC FRAMEWORK,,843831.09,15084978.43
2026-05-15,CARD SETTLEMENT BATCH 1405,,35159.62,15120138.05
2026-05-15,BACS CREDIT REF 193113 FM COMPANY,,839018.95,15959157.00
2026-05-15,DD THORNBURY RIDGE CAPITAL TERM LOAN,632000.00,,15327157.00
2026-05-18,CARD SETTLEMENT BATCH 1505,,53554.40,15380711.40
2026-05-18,BACS CREDIT REF 208362 MANUFACTURER,,682042.46,16062753.86
2026-05-18,BACS PAYMENT RUN 0514,5918232.19,,10144521.67
2026-05-19,CARD SETTLEMENT BATCH 1805,,35896.97,10180418.64
2026-05-19,BACS CREDIT REF 231641 SME TRADE,,1510408.75,11690827.39
2026-05-19,FP FORKSERV EQUIPMENT HIRE,310247.80,,11380579.59
2026-05-20,CARD SETTLEMENT BATCH 1905,,113686.68,11494266.27
2026-05-20,BACS CREDIT REF 562203 PUBLIC FRAMEWORK,,618320.49,12112586.76
2026-05-21,CARD SETTLEMENT BATCH 2005,,39467.26,12152054.02
2026-05-21,BACS CREDIT REF 251059 FM COMPANY,,1504762.25,13656816.27
2026-05-22,CARD SETTLEMENT BATCH 2105,,96048.65,13752864.92
2026-05-22,BACS CREDIT REF 839275 PUBLIC FRAMEWORK,,730842.94,14483707.86
2026-05-22,HMRC PAYE NI,1770384.00,,12713323.86
2026-05-26,CARD SETTLEMENT BATCH 2205,,55009.68,12768333.54
2026-05-26,BACS CREDIT REF 118888 NHS TRUST,,1340121.28,14108454.82
2026-05-26,BACS PAYMENT RUN 0521,4769114.58,,9339340.24
2026-05-27,CARD SETTLEMENT BATCH 2605,,70532.69,9409872.93
2026-05-27,BACS CREDIT REF 433825 MANUFACTURER,,1203712.78,10613585.71
2026-05-27,FP NORTHGATE SYSTEMS,146684.10,,10466901.61
2026-05-28,CARD SETTLEMENT BATCH 2705,,63353.30,10530254.91
2026-05-28,BACS CREDIT REF 834172 PUBLIC FRAMEWORK,,1371458.47,11901713.38
2026-05-28,SALARIES BACS,2089440.00,,9812273.38
2026-05-29,CARD SETTLEMENT BATCH 2805,,72182.02,9884455.40
2026-05-29,ACCOUNT CHARGES,1842.17,,9882613.23
